track_id,title,creator,artist,release_year,era_bin,source_type,preview_url,genre,track_duration_sec,lyrics,melisma_event_ids,remark,lyrics_language,melisma_events_file,annotation_file,rhythmic_patterns_file,artist_source_value,performer_group_id,performer_group_status
IKD_001,Kr. Belaian Cinta - Ika Kurniawati | Lagu Keroncong Indonesia - Official Music Video,GNP Enterprise,Ika  Kurniawati,2023,2020_plus,studio_professional,https://www.youtube.com/watch?v=97xQ1C5yCig,Keroncong Asli,312.819252,IKD_001_lyrics.json,"[""IKD_001_E0001"", ""IKD_001_E0002"", ""IKD_001_E0003"", ""IKD_001_E0004"", ""IKD_001_E0005"", ""IKD_001_E0006"", ""IKD_001_E0007"", ""IKD_001_E0008"", ""IKD_001_E0009"", ""IKD_001_E0010"", ""IKD_001_E0011"", ""IKD_001_E0012"", ""IKD_001_E0013"", ""IKD_001_E0014"", ""IKD_001_E0015"", ""IKD_001_E0016"", ""IKD_001_E0017"", ""IKD_001_E0018"", ""IKD_001_E0019"", ""IKD_001_E0020"", ""IKD_001_E0021"", ""IKD_001_E0022"", ""IKD_001_E0023"", ""IKD_001_E0024"", ""IKD_001_E0025"", ""IKD_001_E0026"", ""IKD_001_E0027"", ""IKD_001_E0028"", ""IKD_001_E0029"", ""IKD_001_E0030"", ""IKD_001_E0031"", ""IKD_001_E0032"", ""IKD_001_E0033"", ""IKD_001_E0034"", ""IKD_001_E0035"", ""IKD_001_E0036"", ""IKD_001_E0037"", ""IKD_001_E0038"", ""IKD_001_E0039"", ""IKD_001_E0040"", ""IKD_001_E0041"", ""IKD_001_E0042"", ""IKD_001_E0043"", ""IKD_001_E0044"", ""IKD_001_E0045"", ""IKD_001_E0046"", ""IKD_001_E0047"", ""IKD_001_E0048"", ""IKD_001_E0049"", ""IKD_001_E0050"", ""IKD_001_E0051"", ""IKD_001_E0052"", ""IKD_001_E0053"", ""IKD_001_E0054"", ""IKD_001_E0055"", ""IKD_001_E0056"", ""IKD_001_E0057"", ""IKD_001_E0058"", ""IKD_001_E0059"", ""IKD_001_E0060"", ""IKD_001_E0061"", ""IKD_001_E0062"", ""IKD_001_E0063"", ""IKD_001_E0064"", ""IKD_001_E0065"", ""IKD_001_E0066"", ""IKD_001_E0067"", ""IKD_001_E0068"", ""IKD_001_E0069"", ""IKD_001_E0070"", ""IKD_001_E0071"", ""IKD_001_E0072"", ""IKD_001_E0073"", ""IKD_001_E0074"", ""IKD_001_E0075"", ""IKD_001_E0076"", ""IKD_001_E0077"", ""IKD_001_E0078"", ""IKD_001_E0079"", ""IKD_001_E0080"", ""IKD_001_E0081"", ""IKD_001_E0082"", ""IKD_001_E0083"", ""IKD_001_E0084"", ""IKD_001_E0085"", ""IKD_001_E0086"", ""IKD_001_E0087"", ""IKD_001_E0088"", ""IKD_001_E0089"", ""IKD_001_E0090"", ""IKD_001_E0091"", ""IKD_001_E0092"", ""IKD_001_E0093"", ""IKD_001_E0094"", ""IKD_001_E0095"", ""IKD_001_E0096"", ""IKD_001_E0097"", ""IKD_001_E0098"", ""IKD_001_E0099"", ""IKD_001_E0100"", ""IKD_001_E0101"", ""IKD_001_E0102"", ""IKD_001_E0103"", ""IKD_001_E0104"", ""IKD_001_E0105"", ""IKD_001_E0106"", ""IKD_001_E0107"", ""IKD_001_E0108"", ""IKD_001_E0109"", ""IKD_001_E0110"", ""IKD_001_E0111"", ""IKD_001_E0112"", ""IKD_001_E0113""]",,indonesian,IKD_Dataset/Melisma_Events/IKD_001_completed_melisma_events.json,IKD_Dataset/Song_Annotations/IKD_001_completed_annotation.json,IKD_Dataset/Rhythmic_Pattern_Annotations/IKD_001_rhythmic_patterns.json,Ika  Kurniawati,Ika  Kurniawati,source_artist_label
IKD_002,Stb. Ii. Dewa Dewi,Mus Mulyadi,Mus Mulyadi,1990,1980_1999,studio_professional,https://www.youtube.com/watch?v=pVpzgjPZ6jI,Stambul,215.098458,IKD_002_lyrics.json,"[""IKD_002_E0001"", ""IKD_002_E0002"", ""IKD_002_E0003"", ""IKD_002_E0004"", ""IKD_002_E0005"", ""IKD_002_E0006"", ""IKD_002_E0007"", ""IKD_002_E0008"", ""IKD_002_E0009"", ""IKD_002_E0010"", ""IKD_002_E0011"", ""IKD_002_E0012"", ""IKD_002_E0013"", ""IKD_002_E0014"", ""IKD_002_E0015"", ""IKD_002_E0016"", ""IKD_002_E0017"", ""IKD_002_E0018"", ""IKD_002_E0019"", ""IKD_002_E0020"", ""IKD_002_E0021"", ""IKD_002_E0022"", ""IKD_002_E0023"", ""IKD_002_E0024"", ""IKD_002_E0025"", ""IKD_002_E0026"", ""IKD_002_E0027"", ""IKD_002_E0028"", ""IKD_002_E0029"", ""IKD_002_E0030"", ""IKD_002_E0031"", ""IKD_002_E0032"", ""IKD_002_E0033"", ""IKD_002_E0034"", ""IKD_002_E0035"", ""IKD_002_E0036"", ""IKD_002_E0037"", ""IKD_002_E0038"", ""IKD_002_E0039"", ""IKD_002_E0040"", ""IKD_002_E0041"", ""IKD_002_E0042"", ""IKD_002_E0043"", ""IKD_002_E0044"", ""IKD_002_E0045"", ""IKD_002_E0046"", ""IKD_002_E0047"", ""IKD_002_E0048"", ""IKD_002_E0049"", ""IKD_002_E0050"", ""IKD_002_E0051"", ""IKD_002_E0052"", ""IKD_002_E0053"", ""IKD_002_E0054"", ""IKD_002_E0055"", ""IKD_002_E0056"", ""IKD_002_E0057"", ""IKD_002_E0058"", ""IKD_002_E0059"", ""IKD_002_E0060"", ""IKD_002_E0061"", ""IKD_002_E0062"", ""IKD_002_E0063"", ""IKD_002_E0064"", ""IKD_002_E0065"", ""IKD_002_E0066""]",,indonesian,IKD_Dataset/Melisma_Events/IKD_002_completed_melisma_events.json,IKD_Dataset/Song_Annotations/IKD_002_completed_annotation.json,IKD_Dataset/Rhythmic_Pattern_Annotations/IKD_002_rhythmic_patterns.json,Mus Mulyadi,Mus Mulyadi,confirmed_user
IKD_003,Geisha - Cinta Dan Benci | Remember Entertainment ( Keroncong Cover ),Remember Entertainment,Remember Entertainment,2020,2020_plus,live_professional,https://www.youtube.com/watch?v=kRupRaANyeQ,Pop Keroncong,264.384014,IKD_003_lyrics.json,"[""IKD_003_E0001"", ""IKD_003_E0002"", ""IKD_003_E0003"", ""IKD_003_E0004"", ""IKD_003_E0005"", ""IKD_003_E0006"", ""IKD_003_E0007"", ""IKD_003_E0008"", ""IKD_003_E0009"", ""IKD_003_E0010"", ""IKD_003_E0011"", ""IKD_003_E0012"", ""IKD_003_E0013"", ""IKD_003_E0014"", ""IKD_003_E0015"", ""IKD_003_E0016"", ""IKD_003_E0017"", ""IKD_003_E0018"", ""IKD_003_E0019"", ""IKD_003_E0020"", ""IKD_003_E0021"", ""IKD_003_E0022"", ""IKD_003_E0023"", ""IKD_003_E0024"", ""IKD_003_E0025"", ""IKD_003_E0026"", ""IKD_003_E0027"", ""IKD_003_E0028"", ""IKD_003_E0029"", ""IKD_003_E0030"", ""IKD_003_E0031"", ""IKD_003_E0032"", ""IKD_003_E0033"", ""IKD_003_E0034"", ""IKD_003_E0035"", ""IKD_003_E0036"", ""IKD_003_E0037"", ""IKD_003_E0038"", ""IKD_003_E0039"", ""IKD_003_E0040"", ""IKD_003_E0041"", ""IKD_003_E0042"", ""IKD_003_E0043"", ""IKD_003_E0044"", ""IKD_003_E0045"", ""IKD_003_E0046"", ""IKD_003_E0047"", ""IKD_003_E0048"", ""IKD_003_E0049"", ""IKD_003_E0050"", ""IKD_003_E0051"", ""IKD_003_E0052"", ""IKD_003_E0053"", ""IKD_003_E0054"", ""IKD_003_E0055"", ""IKD_003_E0056"", ""IKD_003_E0057"", ""IKD_003_E0058"", ""IKD_003_E0059"", ""IKD_003_E0060"", ""IKD_003_E0061"", ""IKD_003_E0062"", ""IKD_003_E0063"", ""IKD_003_E0064"", ""IKD_003_E0065"", ""IKD_003_E0066"", ""IKD_003_E0067"", ""IKD_003_E0068"", ""IKD_003_E0069""]",,indonesian,IKD_Dataset/Melisma_Events/IKD_003_completed_melisma_events.json,IKD_Dataset/Song_Annotations/IKD_003_completed_annotation.json,IKD_Dataset/Rhythmic_Pattern_Annotations/IKD_003_rhythmic_patterns.json,Remember Entertainment,Remember Entertainment,source_label_proxy
IKD_004,Bengawan Solo,GNP Music,Gesang,1940,pre_1980,studio_professional,https://www.youtube.com/watch?v=-J4yNa2w_I0,Keroncong Asli,258.844444,IKD_004_lyrics.json,"[""IKD_004_E0001"", ""IKD_004_E0002"", ""IKD_004_E0003"", ""IKD_004_E0004"", ""IKD_004_E0005"", ""IKD_004_E0006"", ""IKD_004_E0007"", ""IKD_004_E0008"", ""IKD_004_E0009"", ""IKD_004_E0010"", ""IKD_004_E0011"", ""IKD_004_E0012"", ""IKD_004_E0013"", ""IKD_004_E0014"", ""IKD_004_E0015"", ""IKD_004_E0016"", ""IKD_004_E0017"", ""IKD_004_E0018"", ""IKD_004_E0019"", ""IKD_004_E0020"", ""IKD_004_E0021"", ""IKD_004_E0022"", ""IKD_004_E0023"", ""IKD_004_E0024"", ""IKD_004_E0025"", ""IKD_004_E0026"", ""IKD_004_E0027"", ""IKD_004_E0028"", ""IKD_004_E0029"", ""IKD_004_E0030"", ""IKD_004_E0031"", ""IKD_004_E0032"", ""IKD_004_E0033"", ""IKD_004_E0034"", ""IKD_004_E0035"", ""IKD_004_E0036"", ""IKD_004_E0037"", ""IKD_004_E0038"", ""IKD_004_E0039"", ""IKD_004_E0040"", ""IKD_004_E0041"", ""IKD_004_E0042"", ""IKD_004_E0043"", ""IKD_004_E0044"", ""IKD_004_E0045"", ""IKD_004_E0046"", ""IKD_004_E0047"", ""IKD_004_E0048"", ""IKD_004_E0049"", ""IKD_004_E0050"", ""IKD_004_E0051"", ""IKD_004_E0052"", ""IKD_004_E0053"", ""IKD_004_E0054"", ""IKD_004_E0055"", ""IKD_004_E0056"", ""IKD_004_E0057"", ""IKD_004_E0058"", ""IKD_004_E0059"", ""IKD_004_E0060"", ""IKD_004_E0061"", ""IKD_004_E0062"", ""IKD_004_E0063"", ""IKD_004_E0064"", ""IKD_004_E0065""]",,javanese,IKD_Dataset/Melisma_Events/IKD_004_completed_melisma_events.json,IKD_Dataset/Song_Annotations/IKD_004_completed_annotation.json,IKD_Dataset/Rhythmic_Pattern_Annotations/IKD_004_rhythmic_patterns.json,Gesang,Gesang,source_artist_label
IKD_005,Lgm. RIWAYAT SANGKURIANG - Fadhila (Seri Album Keroncong Asli Side of X),Keroncong Side of X,Fadhila,2022,2020_plus,studio_professional,https://www.youtube.com/watch?v=FdkqCmMEn4s,Langgam,282.784240,IKD_005_lyrics.json,"[""IKD_005_E0001"", ""IKD_005_E0002"", ""IKD_005_E0003"", ""IKD_005_E0004"", ""IKD_005_E0005"", ""IKD_005_E0006"", ""IKD_005_E0007"", ""IKD_005_E0008"", ""IKD_005_E0009"", ""IKD_005_E0010"", ""IKD_005_E0011"", ""IKD_005_E0012"", ""IKD_005_E0013"", ""IKD_005_E0014"", ""IKD_005_E0015"", ""IKD_005_E0016"", ""IKD_005_E0017"", ""IKD_005_E0018"", ""IKD_005_E0019"", ""IKD_005_E0020"", ""IKD_005_E0021"", ""IKD_005_E0022"", ""IKD_005_E0023"", ""IKD_005_E0024"", ""IKD_005_E0025"", ""IKD_005_E0026"", ""IKD_005_E0027"", ""IKD_005_E0028"", ""IKD_005_E0029"", ""IKD_005_E0030"", ""IKD_005_E0031"", ""IKD_005_E0032"", ""IKD_005_E0033"", ""IKD_005_E0034"", ""IKD_005_E0035"", ""IKD_005_E0036"", ""IKD_005_E0037"", ""IKD_005_E0038"", ""IKD_005_E0039"", ""IKD_005_E0040"", ""IKD_005_E0041"", ""IKD_005_E0042"", ""IKD_005_E0043"", ""IKD_005_E0044"", ""IKD_005_E0045"", ""IKD_005_E0046"", ""IKD_005_E0047"", ""IKD_005_E0048"", ""IKD_005_E0049"", ""IKD_005_E0050"", ""IKD_005_E0051"", ""IKD_005_E0052"", ""IKD_005_E0053"", ""IKD_005_E0054"", ""IKD_005_E0055"", ""IKD_005_E0056"", ""IKD_005_E0057"", ""IKD_005_E0058"", ""IKD_005_E0059"", ""IKD_005_E0060"", ""IKD_005_E0061"", ""IKD_005_E0062"", ""IKD_005_E0063"", ""IKD_005_E0064"", ""IKD_005_E0065"", ""IKD_005_E0066"", ""IKD_005_E0067"", ""IKD_005_E0068"", ""IKD_005_E0069"", ""IKD_005_E0070"", ""IKD_005_E0071"", ""IKD_005_E0072"", ""IKD_005_E0073"", ""IKD_005_E0074"", ""IKD_005_E0075"", ""IKD_005_E0076"", ""IKD_005_E0077"", ""IKD_005_E0078"", ""IKD_005_E0079"", ""IKD_005_E0080"", ""IKD_005_E0081"", ""IKD_005_E0082"", ""IKD_005_E0083""]",the original music was created around 1960s,indonesian,IKD_Dataset/Melisma_Events/IKD_005_completed_melisma_events.json,IKD_Dataset/Song_Annotations/IKD_005_completed_annotation.json,IKD_Dataset/Rhythmic_Pattern_Annotations/IKD_005_rhythmic_patterns.json,Fadhila,Fadhila,source_artist_label
IKD_006,Dian Piesesha - Keroncong Kerinduan ( Video Klip ),JK Records,Dian Piesesha,1993,1980_1999,studio_professional,https://www.youtube.com/watch?v=n4BSw2ai-t0,Pop Keroncong,271.801202,IKD_006_lyrics.json,"[""IKD_006_E0001"", ""IKD_006_E0002"", ""IKD_006_E0003"", ""IKD_006_E0004"", ""IKD_006_E0005"", ""IKD_006_E0006"", ""IKD_006_E0007"", ""IKD_006_E0008"", ""IKD_006_E0009"", ""IKD_006_E0010"", ""IKD_006_E0011"", ""IKD_006_E0012"", ""IKD_006_E0013"", ""IKD_006_E0014"", ""IKD_006_E0015"", ""IKD_006_E0016"", ""IKD_006_E0017"", ""IKD_006_E0018"", ""IKD_006_E0019"", ""IKD_006_E0020"", ""IKD_006_E0021"", ""IKD_006_E0022"", ""IKD_006_E0023"", ""IKD_006_E0024"", ""IKD_006_E0025"", ""IKD_006_E0026"", ""IKD_006_E0027"", ""IKD_006_E0028"", ""IKD_006_E0029"", ""IKD_006_E0030"", ""IKD_006_E0031"", ""IKD_006_E0032"", ""IKD_006_E0033"", ""IKD_006_E0034"", ""IKD_006_E0035"", ""IKD_006_E0036"", ""IKD_006_E0037"", ""IKD_006_E0038"", ""IKD_006_E0039"", ""IKD_006_E0040"", ""IKD_006_E0041"", ""IKD_006_E0042"", ""IKD_006_E0043"", ""IKD_006_E0044"", ""IKD_006_E0045"", ""IKD_006_E0046"", ""IKD_006_E0047"", ""IKD_006_E0048"", ""IKD_006_E0049"", ""IKD_006_E0050"", ""IKD_006_E0051"", ""IKD_006_E0052"", ""IKD_006_E0053"", ""IKD_006_E0054"", ""IKD_006_E0055"", ""IKD_006_E0056"", ""IKD_006_E0057"", ""IKD_006_E0058"", ""IKD_006_E0059"", ""IKD_006_E0060"", ""IKD_006_E0061"", ""IKD_006_E0062"", ""IKD_006_E0063"", ""IKD_006_E0064"", ""IKD_006_E0065"", ""IKD_006_E0066"", ""IKD_006_E0067"", ""IKD_006_E0068"", ""IKD_006_E0069"", ""IKD_006_E0070"", ""IKD_006_E0071"", ""IKD_006_E0072"", ""IKD_006_E0073"", ""IKD_006_E0074"", ""IKD_006_E0075"", ""IKD_006_E0076"", ""IKD_006_E0077"", ""IKD_006_E0078"", ""IKD_006_E0079"", ""IKD_006_E0080"", ""IKD_006_E0081"", ""IKD_006_E0082"", ""IKD_006_E0083"", ""IKD_006_E0084"", ""IKD_006_E0085"", ""IKD_006_E0086"", ""IKD_006_E0087"", ""IKD_006_E0088"", ""IKD_006_E0089"", ""IKD_006_E0090"", ""IKD_006_E0091"", ""IKD_006_E0092"", ""IKD_006_E0093""]",,indonesian,IKD_Dataset/Melisma_Events/IKD_006_completed_melisma_events.json,IKD_Dataset/Song_Annotations/IKD_006_completed_annotation.json,IKD_Dataset/Rhythmic_Pattern_Annotations/IKD_006_rhythmic_patterns.json,Dian Piesesha,Dian Piesesha,source_artist_label
IKD_007,Kr Tanah Airku - Sundari Soekotjo,GNP Enterprise,Sundari Soekotjo,2021,2020_plus,studio_professional,https://www.youtube.com/watch?v=oXwkKh5e9Ac,Keroncong Asli,257.520930,IKD_007_lyrics.json,"[""IKD_007_E0001"", ""IKD_007_E0002"", ""IKD_007_E0003"", ""IKD_007_E0004"", ""IKD_007_E0005"", ""IKD_007_E0006"", ""IKD_007_E0007"", ""IKD_007_E0008"", ""IKD_007_E0009"", ""IKD_007_E0010"", ""IKD_007_E0011"", ""IKD_007_E0012"", ""IKD_007_E0013"", ""IKD_007_E0014"", ""IKD_007_E0015"", ""IKD_007_E0016"", ""IKD_007_E0017"", ""IKD_007_E0018"", ""IKD_007_E0019"", ""IKD_007_E0020"", ""IKD_007_E0021"", ""IKD_007_E0022"", ""IKD_007_E0023"", ""IKD_007_E0024"", ""IKD_007_E0025"", ""IKD_007_E0026"", ""IKD_007_E0027"", ""IKD_007_E0028"", ""IKD_007_E0029"", ""IKD_007_E0030"", ""IKD_007_E0031"", ""IKD_007_E0032"", ""IKD_007_E0033"", ""IKD_007_E0034"", ""IKD_007_E0035"", ""IKD_007_E0036"", ""IKD_007_E0037"", ""IKD_007_E0038"", ""IKD_007_E0039"", ""IKD_007_E0040"", ""IKD_007_E0041"", ""IKD_007_E0042"", ""IKD_007_E0043"", ""IKD_007_E0044"", ""IKD_007_E0045"", ""IKD_007_E0046"", ""IKD_007_E0047"", ""IKD_007_E0048"", ""IKD_007_E0049"", ""IKD_007_E0050"", ""IKD_007_E0051"", ""IKD_007_E0052"", ""IKD_007_E0053"", ""IKD_007_E0054"", ""IKD_007_E0055"", ""IKD_007_E0056"", ""IKD_007_E0057"", ""IKD_007_E0058"", ""IKD_007_E0059"", ""IKD_007_E0060"", ""IKD_007_E0061"", ""IKD_007_E0062"", ""IKD_007_E0063"", ""IKD_007_E0064"", ""IKD_007_E0065"", ""IKD_007_E0066"", ""IKD_007_E0067"", ""IKD_007_E0068"", ""IKD_007_E0069"", ""IKD_007_E0070"", ""IKD_007_E0071"", ""IKD_007_E0072"", ""IKD_007_E0073"", ""IKD_007_E0074"", ""IKD_007_E0075"", ""IKD_007_E0076"", ""IKD_007_E0077"", ""IKD_007_E0078"", ""IKD_007_E0079"", ""IKD_007_E0080"", ""IKD_007_E0081"", ""IKD_007_E0082"", ""IKD_007_E0083"", ""IKD_007_E0084"", ""IKD_007_E0085"", ""IKD_007_E0086"", ""IKD_007_E0087"", ""IKD_007_E0088"", ""IKD_007_E0089"", ""IKD_007_E0090"", ""IKD_007_E0091"", ""IKD_007_E0092"", ""IKD_007_E0093"", ""IKD_007_E0094"", ""IKD_007_E0095"", ""IKD_007_E0096"", ""IKD_007_E0097"", ""IKD_007_E0098"", ""IKD_007_E0099"", ""IKD_007_E0100"", ""IKD_007_E0101"", ""IKD_007_E0102"", ""IKD_007_E0103""]",the original music was created around 1956,indonesian,IKD_Dataset/Melisma_Events/IKD_007_completed_melisma_events.json,IKD_Dataset/Song_Annotations/IKD_007_completed_annotation.json,IKD_Dataset/Rhythmic_Pattern_Annotations/IKD_007_rhythmic_patterns.json,Sundari Soekotjo,Sundari Soekotjo,source_artist_label
IKD_008,SETANGKAI ANGGREK BULAN - DAPUR MUSIK KERONCONG || OFFICIAL LIVE AUDIO VIDEO,Dapur Musik Keroncong,Prapty Teng-Teng,2025,2020_plus,studio_professional,https://www.youtube.com/watch?v=TQcqwXKidRU,Pop Keroncong,289.192925,IKD_008_lyrics.json,"[""IKD_008_E0001"", ""IKD_008_E0002"", ""IKD_008_E0003"", ""IKD_008_E0004"", ""IKD_008_E0005"", ""IKD_008_E0006"", ""IKD_008_E0007"", ""IKD_008_E0008"", ""IKD_008_E0009"", ""IKD_008_E0010"", ""IKD_008_E0011"", ""IKD_008_E0012"", ""IKD_008_E0013"", ""IKD_008_E0014"", ""IKD_008_E0015"", ""IKD_008_E0016"", ""IKD_008_E0017"", ""IKD_008_E0018"", ""IKD_008_E0019"", ""IKD_008_E0020"", ""IKD_008_E0021"", ""IKD_008_E0022"", ""IKD_008_E0023"", ""IKD_008_E0024"", ""IKD_008_E0025"", ""IKD_008_E0026"", ""IKD_008_E0027"", ""IKD_008_E0028"", ""IKD_008_E0029"", ""IKD_008_E0030"", ""IKD_008_E0031"", ""IKD_008_E0032"", ""IKD_008_E0033"", ""IKD_008_E0034"", ""IKD_008_E0035"", ""IKD_008_E0036"", ""IKD_008_E0037"", ""IKD_008_E0038"", ""IKD_008_E0039"", ""IKD_008_E0040"", ""IKD_008_E0041"", ""IKD_008_E0042"", ""IKD_008_E0043"", ""IKD_008_E0044"", ""IKD_008_E0045"", ""IKD_008_E0046"", ""IKD_008_E0047"", ""IKD_008_E0048"", ""IKD_008_E0049"", ""IKD_008_E0050"", ""IKD_008_E0051"", ""IKD_008_E0052"", ""IKD_008_E0053"", ""IKD_008_E0054"", ""IKD_008_E0055"", ""IKD_008_E0056"", ""IKD_008_E0057"", ""IKD_008_E0058"", ""IKD_008_E0059"", ""IKD_008_E0060"", ""IKD_008_E0061"", ""IKD_008_E0062"", ""IKD_008_E0063"", ""IKD_008_E0064"", ""IKD_008_E0065"", ""IKD_008_E0066"", ""IKD_008_E0067"", ""IKD_008_E0068"", ""IKD_008_E0069"", ""IKD_008_E0070"", ""IKD_008_E0071"", ""IKD_008_E0072"", ""IKD_008_E0073"", ""IKD_008_E0074"", ""IKD_008_E0075"", ""IKD_008_E0076"", ""IKD_008_E0077"", ""IKD_008_E0078"", ""IKD_008_E0079""]",the original music was created around 1970s,indonesian,IKD_Dataset/Melisma_Events/IKD_008_completed_melisma_events.json,IKD_Dataset/Song_Annotations/IKD_008_completed_annotation.json,IKD_Dataset/Rhythmic_Pattern_Annotations/IKD_008_rhythmic_patterns.json,Prapty,Prapty Teng-Teng,confirmed_user
IKD_009,Melukis Senja (KERONCONG) - Budi Doremi ft. Fivein #LetsJamWithJames,James Adam,Budi Doremi,2020,2020_plus,live_professional,https://www.youtube.com/watch?v=Hr_f3EONcsk,Pop Keroncong,281.205283,IKD_009_lyrics.json,"[""IKD_009_E0001"", ""IKD_009_E0002"", ""IKD_009_E0003"", ""IKD_009_E0004"", ""IKD_009_E0005"", ""IKD_009_E0006"", ""IKD_009_E0007"", ""IKD_009_E0008"", ""IKD_009_E0009"", ""IKD_009_E0010"", ""IKD_009_E0011"", ""IKD_009_E0012"", ""IKD_009_E0013"", ""IKD_009_E0014"", ""IKD_009_E0015"", ""IKD_009_E0016"", ""IKD_009_E0017"", ""IKD_009_E0018"", ""IKD_009_E0019"", ""IKD_009_E0020"", ""IKD_009_E0021"", ""IKD_009_E0022"", ""IKD_009_E0023"", ""IKD_009_E0024"", ""IKD_009_E0025"", ""IKD_009_E0026"", ""IKD_009_E0027"", ""IKD_009_E0028"", ""IKD_009_E0029"", ""IKD_009_E0030"", ""IKD_009_E0031"", ""IKD_009_E0032"", ""IKD_009_E0033"", ""IKD_009_E0034"", ""IKD_009_E0035"", ""IKD_009_E0036"", ""IKD_009_E0037"", ""IKD_009_E0038"", ""IKD_009_E0039"", ""IKD_009_E0040"", ""IKD_009_E0041"", ""IKD_009_E0042"", ""IKD_009_E0043"", ""IKD_009_E0044"", ""IKD_009_E0045"", ""IKD_009_E0046"", ""IKD_009_E0047"", ""IKD_009_E0048"", ""IKD_009_E0049"", ""IKD_009_E0050"", ""IKD_009_E0051"", ""IKD_009_E0052"", ""IKD_009_E0053"", ""IKD_009_E0054"", ""IKD_009_E0055"", ""IKD_009_E0056"", ""IKD_009_E0057"", ""IKD_009_E0058"", ""IKD_009_E0059""]",,indonesian,IKD_Dataset/Melisma_Events/IKD_009_completed_melisma_events.json,IKD_Dataset/Song_Annotations/IKD_009_completed_annotation.json,IKD_Dataset/Rhythmic_Pattern_Annotations/IKD_009_rhythmic_patterns.json,Budi Doremi,Budi Doremi,source_artist_label
IKD_010,Dan (KERONCONG) - Yoriko Angeline ft. Fivein #LetsJamWithJames,James Adam,Yoriko Angeline,2021,2020_plus,live_professional,https://www.youtube.com/watch?v=xmro8xQeWQs,Pop Keroncong,260.539524,IKD_010_lyrics.json,"[""IKD_010_E0001"", ""IKD_010_E0002"", ""IKD_010_E0003"", ""IKD_010_E0004"", ""IKD_010_E0005"", ""IKD_010_E0006"", ""IKD_010_E0007"", ""IKD_010_E0008"", ""IKD_010_E0009"", ""IKD_010_E0010"", ""IKD_010_E0011"", ""IKD_010_E0012"", ""IKD_010_E0013"", ""IKD_010_E0014"", ""IKD_010_E0015"", ""IKD_010_E0016"", ""IKD_010_E0017"", ""IKD_010_E0018"", ""IKD_010_E0019"", ""IKD_010_E0020"", ""IKD_010_E0021"", ""IKD_010_E0022"", ""IKD_010_E0023"", ""IKD_010_E0024"", ""IKD_010_E0025"", ""IKD_010_E0026"", ""IKD_010_E0027"", ""IKD_010_E0028"", ""IKD_010_E0029"", ""IKD_010_E0030"", ""IKD_010_E0031"", ""IKD_010_E0032"", ""IKD_010_E0033"", ""IKD_010_E0034"", ""IKD_010_E0035"", ""IKD_010_E0036"", ""IKD_010_E0037"", ""IKD_010_E0038"", ""IKD_010_E0039"", ""IKD_010_E0040"", ""IKD_010_E0041"", ""IKD_010_E0042"", ""IKD_010_E0043"", ""IKD_010_E0044"", ""IKD_010_E0045"", ""IKD_010_E0046"", ""IKD_010_E0047"", ""IKD_010_E0048"", ""IKD_010_E0049"", ""IKD_010_E0050"", ""IKD_010_E0051"", ""IKD_010_E0052"", ""IKD_010_E0053"", ""IKD_010_E0054"", ""IKD_010_E0055""]",,indonesian,IKD_Dataset/Melisma_Events/IKD_010_completed_melisma_events.json,IKD_Dataset/Song_Annotations/IKD_010_completed_annotation.json,IKD_Dataset/Rhythmic_Pattern_Annotations/IKD_010_rhythmic_patterns.json,Yoriko Angeline,Yoriko Angeline,source_artist_label
