base_fold,track_id,title,artist,performer_group_id,performer_group_status,genre
1,IKD_009,Melukis Senja (KERONCONG) - Budi Doremi ft. Fivein #LetsJamWithJames,Budi Doremi,Budi Doremi,source_artist_label,Pop Keroncong
1,IKD_017,Stambul Patah Sebelum Sampai-Dony Koeswinarno & Keroncong Indonesiaku,Dony Koeswinarno & Keroncong Indonesiaku,Dony Koeswinarno & Keroncong Indonesiaku,source_label_proxy,Stambul
1,IKD_019,Kr. Moresko,Toto Salmon,Toto Salmon,confirmed_user,Keroncong Asli
1,IKD_021,Kr. Bandar Jakarta,Toto Salmon,Toto Salmon,confirmed_user,Keroncong Asli
1,IKD_024,Stb. Baju Biru,Toto Salmon,Toto Salmon,confirmed_user,Stambul
1,IKD_026,Stb. Jangan Menyesal,Toto Salmon,Toto Salmon,confirmed_user,Stambul
2,IKD_001,Kr. Belaian Cinta - Ika Kurniawati | Lagu Keroncong Indonesia - Official Music Video,Ika  Kurniawati,Ika  Kurniawati,source_artist_label,Keroncong Asli
2,IKD_006,Dian Piesesha - Keroncong Kerinduan ( Video Klip ),Dian Piesesha,Dian Piesesha,source_artist_label,Pop Keroncong
2,IKD_008,SETANGKAI ANGGREK BULAN - DAPUR MUSIK KERONCONG || OFFICIAL LIVE AUDIO VIDEO,Prapty Teng-Teng,Prapty Teng-Teng,confirmed_user,Pop Keroncong
2,IKD_010,Dan (KERONCONG) - Yoriko Angeline ft. Fivein #LetsJamWithJames,Yoriko Angeline,Yoriko Angeline,source_artist_label,Pop Keroncong
2,IKD_014,SEPANJANG JALAN KENANGAN - DAPUR MUSIK KERONCONG || OFFICIAL LIVE AUDIO VIDEO ||,Prapty Teng-Teng,Prapty Teng-Teng,confirmed_user,Pop Keroncong
2,IKD_030,Kr. Citra Pahlawan,Indra Utami Tamsir,Indra Utami Tamsir,source_artist_label,Keroncong Asli
3,IKD_005,Lgm. RIWAYAT SANGKURIANG - Fadhila (Seri Album Keroncong Asli Side of X),Fadhila,Fadhila,source_artist_label,Langgam
3,IKD_012,SASYA ARKHISNA - SINARENGAN | DC.CONGYENG (OFFICIAL LIVE MUSIC VIDEO) | DC MUSIK,Sasya Arkhisna,Sasya Arkhisna,source_artist_label,Pop Keroncong
3,IKD_020,MATI URIP KARO KOWE - NIKEN SALINDRY FT  SIHO - KERONCONG,NIKEN SALINDRY FT SIHO,NIKEN SALINDRY FT SIHO,source_label_proxy,Pop Keroncong
3,IKD_025,STB. Jauh Di mata,Tuti Tri Sedya,Tuti Tri Sedya,confirmed_user,Stambul
3,IKD_028,Kr. Senja,Tuti Tri Sedya,Tuti Tri Sedya,confirmed_user,Keroncong Asli
4,IKD_002,Stb. Ii. Dewa Dewi,Mus Mulyadi,Mus Mulyadi,confirmed_user,Stambul
4,IKD_004,Bengawan Solo,Gesang,Gesang,source_artist_label,Keroncong Asli
4,IKD_013,Dewi Murni - Mus Mulyadi (Pop Keroncong),Mus Mulyadi,Mus Mulyadi,confirmed_user,Pop Keroncong
4,IKD_016,Lgm Saputangan - Gesang | Keroncong Asli Legendaris dari Karya Emas Gesang,Gesang,Gesang,source_artist_label,Langgam
4,IKD_018,Keroncong Asli Kr Petir Mus Mulyadi - Musik Klasik Legendaris Indonesia,Mus Mulyadi,Mus Mulyadi,confirmed_user,Keroncong Asli
4,IKD_023,Stambul Cha Cha,Oslan Husein,Oslan Husein,source_artist_label,Stambul
4,IKD_027,Lgm. Sebelum Aku Mati,Gesang,Gesang,source_artist_label,Langgam
5,IKD_003,Geisha - Cinta Dan Benci | Remember Entertainment ( Keroncong Cover ),Remember Entertainment,Remember Entertainment,source_label_proxy,Pop Keroncong
5,IKD_007,Kr Tanah Airku - Sundari Soekotjo,Sundari Soekotjo,Sundari Soekotjo,source_artist_label,Keroncong Asli
5,IKD_011,LUNGITING ASMARA [KERONCONG JAWA],Paksi Raras Alit Band,Paksi Raras Alit Band,source_label_proxy,Langgam
5,IKD_015,Lgm Di Bawah Sinar Bulan Purnama - Sundari Soekotjo (Official Video),Sundari Soekotjo,Sundari Soekotjo,source_artist_label,Langgam
5,IKD_022,Kr. RINDU MALAM,Sundari Soekotjo,Sundari Soekotjo,source_artist_label,Keroncong Asli
5,IKD_029,Kr. Hanya Engkau,Sundari Soekotjo,Sundari Soekotjo,source_artist_label,Keroncong Asli
