outer_fold,split,performer_groups,tracks,syllables,no_melisma,luk,cengkok,gregel,embat,nggandhul,performer_group_ids,track_ids,genre_counts
1,train,10,18,3946,2399,1040,212,351,311,176,"[""Fadhila"", ""Gesang"", ""Mus Mulyadi"", ""NIKEN SALINDRY FT SIHO"", ""Oslan Husein"", ""Paksi Raras Alit Band"", ""Remember Entertainment"", ""Sasya Arkhisna"", ""Sundari Soekotjo"", ""Tuti Tri Sedya""]","[""IKD_002"", ""IKD_003"", ""IKD_004"", ""IKD_005"", ""IKD_007"", ""IKD_011"", ""IKD_012"", ""IKD_013"", ""IKD_015"", ""IKD_016"", ""IKD_018"", ""IKD_020"", ""IKD_022"", ""IKD_023"", ""IKD_025"", ""IKD_027"", ""IKD_028"", ""IKD_029""]","{""Keroncong Asli"": 6, ""Langgam"": 5, ""Pop Keroncong"": 4, ""Stambul"": 3}"
1,validation,5,6,1575,1041,318,65,129,65,57,"[""Dian Piesesha"", ""Ika  Kurniawati"", ""Indra Utami Tamsir"", ""Prapty Teng-Teng"", ""Yoriko Angeline""]","[""IKD_001"", ""IKD_006"", ""IKD_008"", ""IKD_010"", ""IKD_014"", ""IKD_030""]","{""Keroncong Asli"": 2, ""Pop Keroncong"": 4}"
1,test,3,6,1251,656,300,97,133,187,118,"[""Budi Doremi"", ""Dony Koeswinarno & Keroncong Indonesiaku"", ""Toto Salmon""]","[""IKD_009"", ""IKD_017"", ""IKD_019"", ""IKD_021"", ""IKD_024"", ""IKD_026""]","{""Keroncong Asli"": 2, ""Pop Keroncong"": 1, ""Stambul"": 3}"
2,train,9,19,3860,2221,1021,238,363,397,237,"[""Budi Doremi"", ""Dony Koeswinarno & Keroncong Indonesiaku"", ""Gesang"", ""Mus Mulyadi"", ""Oslan Husein"", ""Paksi Raras Alit Band"", ""Remember Entertainment"", ""Sundari Soekotjo"", ""Toto Salmon""]","[""IKD_002"", ""IKD_003"", ""IKD_004"", ""IKD_007"", ""IKD_009"", ""IKD_011"", ""IKD_013"", ""IKD_015"", ""IKD_016"", ""IKD_017"", ""IKD_018"", ""IKD_019"", ""IKD_021"", ""IKD_022"", ""IKD_023"", ""IKD_024"", ""IKD_026"", ""IKD_027"", ""IKD_029""]","{""Keroncong Asli"": 7, ""Langgam"": 4, ""Pop Keroncong"": 3, ""Stambul"": 5}"
2,validation,4,5,1337,834,319,71,121,101,57,"[""Fadhila"", ""NIKEN SALINDRY FT SIHO"", ""Sasya Arkhisna"", ""Tuti Tri Sedya""]","[""IKD_005"", ""IKD_012"", ""IKD_020"", ""IKD_025"", ""IKD_028""]","{""Keroncong Asli"": 1, ""Langgam"": 1, ""Pop Keroncong"": 2, ""Stambul"": 1}"
2,test,5,6,1575,1041,318,65,129,65,57,"[""Dian Piesesha"", ""Ika  Kurniawati"", ""Indra Utami Tamsir"", ""Prapty Teng-Teng"", ""Yoriko Angeline""]","[""IKD_001"", ""IKD_006"", ""IKD_008"", ""IKD_010"", ""IKD_014"", ""IKD_030""]","{""Keroncong Asli"": 2, ""Pop Keroncong"": 4}"
3,train,11,18,4247,2588,954,233,381,371,236,"[""Budi Doremi"", ""Dian Piesesha"", ""Dony Koeswinarno & Keroncong Indonesiaku"", ""Ika  Kurniawati"", ""Indra Utami Tamsir"", ""Paksi Raras Alit Band"", ""Prapty Teng-Teng"", ""Remember Entertainment"", ""Sundari Soekotjo"", ""Toto Salmon"", ""Yoriko Angeline""]","[""IKD_001"", ""IKD_003"", ""IKD_006"", ""IKD_007"", ""IKD_008"", ""IKD_009"", ""IKD_010"", ""IKD_011"", ""IKD_014"", ""IKD_015"", ""IKD_017"", ""IKD_019"", ""IKD_021"", ""IKD_022"", ""IKD_024"", ""IKD_026"", ""IKD_029"", ""IKD_030""]","{""Keroncong Asli"": 7, ""Langgam"": 2, ""Pop Keroncong"": 6, ""Stambul"": 3}"
3,validation,3,7,1188,674,385,70,111,91,58,"[""Gesang"", ""Mus Mulyadi"", ""Oslan Husein""]","[""IKD_002"", ""IKD_004"", ""IKD_013"", ""IKD_016"", ""IKD_018"", ""IKD_023"", ""IKD_027""]","{""Keroncong Asli"": 2, ""Langgam"": 2, ""Pop Keroncong"": 1, ""Stambul"": 2}"
3,test,4,5,1337,834,319,71,121,101,57,"[""Fadhila"", ""NIKEN SALINDRY FT SIHO"", ""Sasya Arkhisna"", ""Tuti Tri Sedya""]","[""IKD_005"", ""IKD_012"", ""IKD_020"", ""IKD_025"", ""IKD_028""]","{""Keroncong Asli"": 1, ""Langgam"": 1, ""Pop Keroncong"": 2, ""Stambul"": 1}"
4,train,12,17,4163,2531,937,233,383,353,232,"[""Budi Doremi"", ""Dian Piesesha"", ""Dony Koeswinarno & Keroncong Indonesiaku"", ""Fadhila"", ""Ika  Kurniawati"", ""Indra Utami Tamsir"", ""NIKEN SALINDRY FT SIHO"", ""Prapty Teng-Teng"", ""Sasya Arkhisna"", ""Toto Salmon"", ""Tuti Tri Sedya"", ""Yoriko Angeline""]","[""IKD_001"", ""IKD_005"", ""IKD_006"", ""IKD_008"", ""IKD_009"", ""IKD_010"", ""IKD_012"", ""IKD_014"", ""IKD_017"", ""IKD_019"", ""IKD_020"", ""IKD_021"", ""IKD_024"", ""IKD_025"", ""IKD_026"", ""IKD_028"", ""IKD_030""]","{""Keroncong Asli"": 5, ""Langgam"": 1, ""Pop Keroncong"": 7, ""Stambul"": 4}"
4,validation,3,6,1421,891,336,71,119,119,61,"[""Paksi Raras Alit Band"", ""Remember Entertainment"", ""Sundari Soekotjo""]","[""IKD_003"", ""IKD_007"", ""IKD_011"", ""IKD_015"", ""IKD_022"", ""IKD_029""]","{""Keroncong Asli"": 3, ""Langgam"": 2, ""Pop Keroncong"": 1}"
4,test,3,7,1188,674,385,70,111,91,58,"[""Gesang"", ""Mus Mulyadi"", ""Oslan Husein""]","[""IKD_002"", ""IKD_004"", ""IKD_013"", ""IKD_016"", ""IKD_018"", ""IKD_023"", ""IKD_027""]","{""Keroncong Asli"": 2, ""Langgam"": 2, ""Pop Keroncong"": 1, ""Stambul"": 2}"
5,train,12,18,4100,2549,1022,206,361,257,172,"[""Dian Piesesha"", ""Fadhila"", ""Gesang"", ""Ika  Kurniawati"", ""Indra Utami Tamsir"", ""Mus Mulyadi"", ""NIKEN SALINDRY FT SIHO"", ""Oslan Husein"", ""Prapty Teng-Teng"", ""Sasya Arkhisna"", ""Tuti Tri Sedya"", ""Yoriko Angeline""]","[""IKD_001"", ""IKD_002"", ""IKD_004"", ""IKD_005"", ""IKD_006"", ""IKD_008"", ""IKD_010"", ""IKD_012"", ""IKD_013"", ""IKD_014"", ""IKD_016"", ""IKD_018"", ""IKD_020"", ""IKD_023"", ""IKD_025"", ""IKD_027"", ""IKD_028"", ""IKD_030""]","{""Keroncong Asli"": 5, ""Langgam"": 3, ""Pop Keroncong"": 7, ""Stambul"": 3}"
5,validation,3,6,1251,656,300,97,133,187,118,"[""Budi Doremi"", ""Dony Koeswinarno & Keroncong Indonesiaku"", ""Toto Salmon""]","[""IKD_009"", ""IKD_017"", ""IKD_019"", ""IKD_021"", ""IKD_024"", ""IKD_026""]","{""Keroncong Asli"": 2, ""Pop Keroncong"": 1, ""Stambul"": 3}"
