performer_group_id,performer_group_statuses,tracks,track_ids,genres,syllables,no_melisma,luk,cengkok,gregel,embat,nggandhul
Budi Doremi,"[""source_artist_label""]",1,"[""IKD_009""]","{""Pop Keroncong"": 1}",339,280,50,2,4,2,1
Dian Piesesha,"[""source_artist_label""]",1,"[""IKD_006""]","{""Pop Keroncong"": 1}",207,130,63,1,18,1,10
Dony Koeswinarno & Keroncong Indonesiaku,"[""source_label_proxy""]",1,"[""IKD_017""]","{""Stambul"": 1}",180,119,53,1,19,0,2
Fadhila,"[""source_artist_label""]",1,"[""IKD_005""]","{""Langgam"": 1}",175,113,50,4,27,2,0
Gesang,"[""source_artist_label""]",3,"[""IKD_004"", ""IKD_016"", ""IKD_027""]","{""Keroncong Asli"": 1, ""Langgam"": 2}",494,310,110,12,30,57,29
Ika  Kurniawati,"[""source_artist_label""]",1,"[""IKD_001""]","{""Keroncong Asli"": 1}",194,105,57,11,36,3,6
Indra Utami Tamsir,"[""source_artist_label""]",1,"[""IKD_030""]","{""Keroncong Asli"": 1}",236,62,34,50,43,56,25
Mus Mulyadi,"[""confirmed_user""]",3,"[""IKD_002"", ""IKD_013"", ""IKD_018""]","{""Keroncong Asli"": 1, ""Pop Keroncong"": 1, ""Stambul"": 1}",489,278,199,38,72,4,3
NIKEN SALINDRY FT SIHO,"[""source_label_proxy""]",1,"[""IKD_020""]","{""Pop Keroncong"": 1}",400,338,48,2,6,5,4
Oslan Husein,"[""source_artist_label""]",1,"[""IKD_023""]","{""Stambul"": 1}",205,86,76,20,9,30,26
Paksi Raras Alit Band,"[""source_label_proxy""]",1,"[""IKD_011""]","{""Langgam"": 1}",342,272,60,5,20,4,2
Prapty Teng-Teng,"[""confirmed_user""]",2,"[""IKD_008"", ""IKD_014""]","{""Pop Keroncong"": 2}",638,492,121,2,24,3,15
Remember Entertainment,"[""source_label_proxy""]",1,"[""IKD_003""]","{""Pop Keroncong"": 1}",354,295,48,10,10,1,0
Sasya Arkhisna,"[""source_artist_label""]",1,"[""IKD_012""]","{""Pop Keroncong"": 1}",340,226,112,4,17,1,1
Sundari Soekotjo,"[""source_artist_label""]",4,"[""IKD_007"", ""IKD_015"", ""IKD_022"", ""IKD_029""]","{""Keroncong Asli"": 3, ""Langgam"": 1}",725,324,228,56,89,114,59
Toto Salmon,"[""confirmed_user""]",4,"[""IKD_019"", ""IKD_021"", ""IKD_024"", ""IKD_026""]","{""Keroncong Asli"": 2, ""Stambul"": 2}",732,257,197,94,110,185,115
Tuti Tri Sedya,"[""confirmed_user""]",2,"[""IKD_025"", ""IKD_028""]","{""Keroncong Asli"": 1, ""Stambul"": 1}",422,157,109,61,71,93,52
Yoriko Angeline,"[""source_artist_label""]",1,"[""IKD_010""]","{""Pop Keroncong"": 1}",300,252,43,1,8,2,1
