outer_fold,base_fold,split,track_id,artist,genre,syllables,no_melisma,luk,cengkok,gregel,embat,nggandhul
1,4,train,IKD_002,Mus Mulyadi,Stambul,133,85,42,11,10,1,2
1,5,train,IKD_003,Remember Entertainment,Pop Keroncong,354,295,48,10,10,1,0
1,4,train,IKD_004,Gesang,Keroncong Asli,152,95,51,1,4,5,4
1,3,train,IKD_005,Fadhila,Langgam,175,113,50,4,27,2,0
1,5,train,IKD_007,Sundari Soekotjo,Keroncong Asli,201,117,61,0,20,6,16
1,5,train,IKD_011,Paksi Raras Alit Band,Langgam,342,272,60,5,20,4,2
1,3,train,IKD_012,Sasya Arkhisna,Pop Keroncong,340,226,112,4,17,1,1
1,4,train,IKD_013,Mus Mulyadi,Pop Keroncong,215,119,91,16,44,2,1
1,5,train,IKD_015,Sundari Soekotjo,Langgam,209,138,63,4,20,4,2
1,4,train,IKD_016,Gesang,Langgam,194,170,21,0,3,0,0
1,4,train,IKD_018,Mus Mulyadi,Keroncong Asli,141,74,66,11,18,1,0
1,3,train,IKD_020,NIKEN SALINDRY FT SIHO,Pop Keroncong,400,338,48,2,6,5,4
1,5,train,IKD_022,Sundari Soekotjo,Keroncong Asli,174,35,73,16,16,70,24
1,4,train,IKD_023,Oslan Husein,Stambul,205,86,76,20,9,30,26
1,3,train,IKD_025,Tuti Tri Sedya,Stambul,222,101,60,29,36,40,20
1,4,train,IKD_027,Gesang,Langgam,148,45,38,11,23,52,25
1,3,train,IKD_028,Tuti Tri Sedya,Keroncong Asli,200,56,49,32,35,53,32
1,5,train,IKD_029,Sundari Soekotjo,Keroncong Asli,141,34,31,36,33,34,17
1,2,validation,IKD_001,Ika  Kurniawati,Keroncong Asli,194,105,57,11,36,3,6
1,2,validation,IKD_006,Dian Piesesha,Pop Keroncong,207,130,63,1,18,1,10
1,2,validation,IKD_008,Prapty Teng-Teng,Pop Keroncong,264,195,53,2,12,0,12
1,2,validation,IKD_010,Yoriko Angeline,Pop Keroncong,300,252,43,1,8,2,1
1,2,validation,IKD_014,Prapty Teng-Teng,Pop Keroncong,374,297,68,0,12,3,3
1,2,validation,IKD_030,Indra Utami Tamsir,Keroncong Asli,236,62,34,50,43,56,25
1,1,test,IKD_009,Budi Doremi,Pop Keroncong,339,280,50,2,4,2,1
1,1,test,IKD_017,Dony Koeswinarno & Keroncong Indonesiaku,Stambul,180,119,53,1,19,0,2
1,1,test,IKD_019,Toto Salmon,Keroncong Asli,149,84,53,13,20,10,6
1,1,test,IKD_021,Toto Salmon,Keroncong Asli,210,32,62,21,37,80,50
1,1,test,IKD_024,Toto Salmon,Stambul,213,81,39,41,33,52,32
1,1,test,IKD_026,Toto Salmon,Stambul,160,60,43,19,20,43,27
2,4,train,IKD_002,Mus Mulyadi,Stambul,133,85,42,11,10,1,2
2,5,train,IKD_003,Remember Entertainment,Pop Keroncong,354,295,48,10,10,1,0
2,4,train,IKD_004,Gesang,Keroncong Asli,152,95,51,1,4,5,4
2,5,train,IKD_007,Sundari Soekotjo,Keroncong Asli,201,117,61,0,20,6,16
2,1,train,IKD_009,Budi Doremi,Pop Keroncong,339,280,50,2,4,2,1
2,5,train,IKD_011,Paksi Raras Alit Band,Langgam,342,272,60,5,20,4,2
2,4,train,IKD_013,Mus Mulyadi,Pop Keroncong,215,119,91,16,44,2,1
2,5,train,IKD_015,Sundari Soekotjo,Langgam,209,138,63,4,20,4,2
2,4,train,IKD_016,Gesang,Langgam,194,170,21,0,3,0,0
2,1,train,IKD_017,Dony Koeswinarno & Keroncong Indonesiaku,Stambul,180,119,53,1,19,0,2
2,4,train,IKD_018,Mus Mulyadi,Keroncong Asli,141,74,66,11,18,1,0
2,1,train,IKD_019,Toto Salmon,Keroncong Asli,149,84,53,13,20,10,6
2,1,train,IKD_021,Toto Salmon,Keroncong Asli,210,32,62,21,37,80,50
2,5,train,IKD_022,Sundari Soekotjo,Keroncong Asli,174,35,73,16,16,70,24
2,4,train,IKD_023,Oslan Husein,Stambul,205,86,76,20,9,30,26
2,1,train,IKD_024,Toto Salmon,Stambul,213,81,39,41,33,52,32
2,1,train,IKD_026,Toto Salmon,Stambul,160,60,43,19,20,43,27
2,4,train,IKD_027,Gesang,Langgam,148,45,38,11,23,52,25
2,5,train,IKD_029,Sundari Soekotjo,Keroncong Asli,141,34,31,36,33,34,17
2,3,validation,IKD_005,Fadhila,Langgam,175,113,50,4,27,2,0
2,3,validation,IKD_012,Sasya Arkhisna,Pop Keroncong,340,226,112,4,17,1,1
2,3,validation,IKD_020,NIKEN SALINDRY FT SIHO,Pop Keroncong,400,338,48,2,6,5,4
2,3,validation,IKD_025,Tuti Tri Sedya,Stambul,222,101,60,29,36,40,20
2,3,validation,IKD_028,Tuti Tri Sedya,Keroncong Asli,200,56,49,32,35,53,32
2,2,test,IKD_001,Ika  Kurniawati,Keroncong Asli,194,105,57,11,36,3,6
2,2,test,IKD_006,Dian Piesesha,Pop Keroncong,207,130,63,1,18,1,10
