track_id,artist_source_value,artist,performer_group_id,performer_group_status
IKD_001,Ika  Kurniawati,Ika  Kurniawati,Ika  Kurniawati,source_artist_label
IKD_002,Mus Mulyadi,Mus Mulyadi,Mus Mulyadi,confirmed_user
IKD_003,Remember Entertainment,Remember Entertainment,Remember Entertainment,source_label_proxy
IKD_004,Gesang,Gesang,Gesang,source_artist_label
IKD_005,Fadhila,Fadhila,Fadhila,source_artist_label
IKD_006,Dian Piesesha,Dian Piesesha,Dian Piesesha,source_artist_label
IKD_007,Sundari Soekotjo,Sundari Soekotjo,Sundari Soekotjo,source_artist_label
IKD_008,Prapty,Prapty Teng-Teng,Prapty Teng-Teng,confirmed_user
IKD_009,Budi Doremi,Budi Doremi,Budi Doremi,source_artist_label
IKD_010,Yoriko Angeline,Yoriko Angeline,Yoriko Angeline,source_artist_label
IKD_011,Paksi Raras Alit Band,Paksi Raras Alit Band,Paksi Raras Alit Band,source_label_proxy
IKD_012,Sasya Arkhisna,Sasya Arkhisna,Sasya Arkhisna,source_artist_label
IKD_013,Sundari Soekotjo,Mus Mulyadi,Mus Mulyadi,confirmed_user
IKD_014,Prapty Teng - Teng,Prapty Teng-Teng,Prapty Teng-Teng,confirmed_user
IKD_015,Sundari Soekotjo,Sundari Soekotjo,Sundari Soekotjo,source_artist_label
IKD_016,Gesang,Gesang,Gesang,source_artist_label
IKD_017,Dony Koeswinarno & Keroncong Indonesiaku,Dony Koeswinarno & Keroncong Indonesiaku,Dony Koeswinarno & Keroncong Indonesiaku,source_label_proxy
IKD_018,Petir Mus Mulyadi,Mus Mulyadi,Mus Mulyadi,confirmed_user
IKD_019,Toto Salmon,Toto Salmon,Toto Salmon,confirmed_user
IKD_020,NIKEN SALINDRY FT SIHO,NIKEN SALINDRY FT SIHO,NIKEN SALINDRY FT SIHO,source_label_proxy
IKD_021,,Toto Salmon,Toto Salmon,confirmed_user
IKD_022,Sundari Soekotjo,Sundari Soekotjo,Sundari Soekotjo,source_artist_label
IKD_023,Oslan Husein,Oslan Husein,Oslan Husein,source_artist_label
IKD_024,Toto Salmon,Toto Salmon,Toto Salmon,confirmed_user
IKD_025,Tuty Tri Sedya,Tuti Tri Sedya,Tuti Tri Sedya,confirmed_user
IKD_026,Toto Salmon,Toto Salmon,Toto Salmon,confirmed_user
IKD_027,Gesang,Gesang,Gesang,source_artist_label
IKD_028,Tuti Tri Sedya,Tuti Tri Sedya,Tuti Tri Sedya,confirmed_user
IKD_029,Sundari Soekotjo,Sundari Soekotjo,Sundari Soekotjo,source_artist_label
IKD_030,Indra Utami Tamsir,Indra Utami Tamsir,Indra Utami Tamsir,source_artist_label
